agency,site,date,discharge_cfs,height_ft
USGS,6719505,2013-09-11 15:30,5,308
USGS,6719505,2013-09-11 15:45,5,308
USGS,6719505,2013-09-11 16:00,5,308
USGS,6719505,2013-09-11 16:15,5.01,311
USGS,6719505,2013-09-11 16:30,5.02,314
USGS,6719505,2013-09-11 16:45,5.03,318
USGS,6719505,2013-09-11 17:00,5.03,318
USGS,6719505,2013-09-11 17:15,5.03,318
USGS,6719505,2013-09-11 17:30,5.02,314
USGS,6719505,2013-09-11 17:45,5.02,314
USGS,6719505,2013-09-11 18:00,5.01,311
USGS,6719505,2013-09-11 18:15,5,308
USGS,6719505,2013-09-11 18:30,4.97,295
USGS,6719505,2013-09-11 18:45,4.96,292
USGS,6719505,2013-09-11 19:00,4.96,292
USGS,6719505,2013-09-11 19:15,4.96,292
USGS,6719505,2013-09-11 19:30,4.96,292
USGS,6719505,2013-09-11 19:45,4.96,292
USGS,6719505,2013-09-11 20:00,4.97,295
USGS,6719505,2013-09-11 20:15,4.96,292
USGS,6719505,2013-09-11 20:30,4.96,292
USGS,6719505,2013-09-11 20:45,4.95,288
USGS,6719505,2013-09-11 21:00,4.95,288
USGS,6719505,2013-09-11 21:15,4.96,292
USGS,6719505,2013-09-11 21:30,4.97,295
USGS,6719505,2013-09-11 21:45,4.98,301
USGS,6719505,2013-09-11 22:00,4.99,304
USGS,6719505,2013-09-11 22:15,4.98,301
USGS,6719505,2013-09-11 22:30,4.99,304
USGS,6719505,2013-09-11 22:45,4.98,301
USGS,6719505,2013-09-11 23:00,5,308
USGS,6719505,2013-09-11 23:15,5,308
USGS,6719505,2013-09-11 23:30,5.02,314
USGS,6719505,2013-09-11 23:45,5.03,318
USGS,6719505,2013-09-12 00:00,5.05,324
USGS,6719505,2013-09-12 00:15,5.06,328
USGS,6719505,2013-09-12 00:30,5.08,335
USGS,6719505,2013-09-12 00:45,5.22,390
USGS,6719505,2013-09-12 01:00,5.22,390
USGS,6719505,2013-09-12 01:15,5.22,390
USGS,6719505,2013-09-12 01:30,5.21,386
USGS,6719505,2013-09-12 01:45,5.2,382
USGS,6719505,2013-09-12 02:00,5.2,382
USGS,6719505,2013-09-12 02:15,5.21,386
USGS,6719505,2013-09-12 02:30,5.2,382
USGS,6719505,2013-09-12 02:45,5.22,390
USGS,6719505,2013-09-12 03:00,5.21,386
USGS,6719505,2013-09-12 03:15,5.23,394
USGS,6719505,2013-09-12 03:30,5.24,398
USGS,6719505,2013-09-12 03:45,5.24,398
USGS,6719505,2013-09-12 04:00,5.25,402
USGS,6719505,2013-09-12 04:15,5.24,398
USGS,6719505,2013-09-12 04:30,5.26,406
USGS,6719505,2013-09-12 04:45,5.25,402
USGS,6719505,2013-09-12 05:00,5.27,410
USGS,6719505,2013-09-12 05:15,5.26,406
USGS,6719505,2013-09-12 05:30,5.27,410
USGS,6719505,2013-09-12 05:45,5.26,406
USGS,6719505,2013-09-12 06:00,5.27,410
USGS,6719505,2013-09-12 06:15,5.27,410
USGS,6719505,2013-09-12 06:30,5.26,406
USGS,6719505,2013-09-12 06:45,5.26,406
USGS,6719505,2013-09-12 07:00,5.26,406
USGS,6719505,2013-09-12 07:15,5.26,406
USGS,6719505,2013-09-12 07:30,5.26,406
USGS,6719505,2013-09-12 07:45,5.27,410
USGS,6719505,2013-09-12 08:00,5.27,410
USGS,6719505,2013-09-12 08:15,5.27,410
USGS,6719505,2013-09-12 08:30,5.29,422
USGS,6719505,2013-09-12 08:45,5.31,431
USGS,6719505,2013-09-12 09:00,5.33,439
USGS,6719505,2013-09-12 09:15,5.34,443
USGS,6719505,2013-09-12 09:30,5.33,439
USGS,6719505,2013-09-12 09:45,5.33,439
USGS,6719505,2013-09-12 10:00,5.32,435
USGS,6719505,2013-09-12 10:15,5.33,439
USGS,6719505,2013-09-12 10:30,5.35,448
USGS,6719505,2013-09-12 10:45,5.35,448
USGS,6719505,2013-09-12 11:00,5.35,448
USGS,6719505,2013-09-12 11:15,5.39,465
USGS,6719505,2013-09-12 11:30,5.45,497
USGS,6719505,2013-09-12 11:45,5.53,536
USGS,6719505,2013-09-12 12:00,5.49,516
USGS,6719505,2013-09-12 12:15,5.47,507
USGS,6719505,2013-09-12 12:30,5.43,483
USGS,6719505,2013-09-12 12:45,5.39,465
USGS,6719505,2013-09-12 13:00,5.38,461
USGS,6719505,2013-09-12 13:15,5.37,456
USGS,6719505,2013-09-12 13:30,5.36,452
USGS,6719505,2013-09-12 13:45,5.35,448
USGS,6719505,2013-09-12 14:00,5.35,448
USGS,6719505,2013-09-12 14:15,5.34,443
USGS,6719505,2013-09-12 14:30,5.33,439
USGS,6719505,2013-09-12 14:45,5.34,443
USGS,6719505,2013-09-12 15:00,5.32,435
USGS,6719505,2013-09-12 15:15,5.31,431
USGS,6719505,2013-09-12 15:30,5.29,422
USGS,6719505,2013-09-12 15:45,5.31,431
USGS,6719505,2013-09-12 16:00,5.31,431
USGS,6719505,2013-09-12 16:15,5.31,431
USGS,6719505,2013-09-12 16:30,5.32,435
USGS,6719505,2013-09-12 16:45,5.35,448
USGS,6719505,2013-09-12 17:00,5.38,461
USGS,6719505,2013-09-12 17:15,5.39,465
USGS,6719505,2013-09-12 17:30,5.4,470
USGS,6719505,2013-09-12 17:45,5.43,483
USGS,6719505,2013-09-12 18:00,5.46,502
USGS,6719505,2013-09-12 18:15,5.49,516
USGS,6719505,2013-09-12 18:30,5.54,541
USGS,6719505,2013-09-12 18:45,5.56,551
USGS,6719505,2013-09-12 19:00,5.64,592
USGS,6719505,2013-09-12 19:15,5.68,614
USGS,6719505,2013-09-12 19:30,5.68,614
USGS,6719505,2013-09-12 19:45,5.7,625
USGS,6719505,2013-09-12 20:00,5.72,636
USGS,6719505,2013-09-12 20:15,5.73,642
USGS,6719505,2013-09-12 20:30,5.73,642
USGS,6719505,2013-09-12 20:45,5.76,659
USGS,6719505,2013-09-12 21:00,5.76,659
USGS,6719505,2013-09-12 21:15,5.75,653
USGS,6719505,2013-09-12 21:30,5.84,706
USGS,6719505,2013-09-12 21:45,5.91,750
USGS,6719505,2013-09-12 22:00,6.01,815
USGS,6719505,2013-09-12 22:15,6.15,914
USGS,6719505,2013-09-12 22:30,6.29,1020
USGS,6719505,2013-09-12 22:45,6.36,1080
USGS,6719505,2013-09-12 23:00,6.53,1230
USGS,6719505,2013-09-12 23:15,6.62,1310
USGS,6719505,2013-09-12 23:30,6.5,1200
USGS,6719505,2013-09-12 23:45,6.49,1190
USGS,6719505,2013-09-13 00:00,6.47,1170
USGS,6719505,2013-09-13 00:15,6.52,1220
USGS,6719505,2013-09-13 00:30,6.55,1250
USGS,6719505,2013-09-13 00:45,6.56,1250
USGS,6719505,2013-09-13 01:00,6.51,1210
USGS,6719505,2013-09-13 01:15,6.52,1220
USGS,6719505,2013-09-13 01:30,6.5,1200
USGS,6719505,2013-09-13 01:45,6.43,1140
USGS,6719505,2013-09-13 02:00,6.56,1250
USGS,6719505,2013-09-13 02:15,6.58,1270
USGS,6719505,2013-09-13 02:30,6.6,1290
USGS,6719505,2013-09-13 02:45,6.58,1270
USGS,6719505,2013-09-13 03:00,6.6,1290
USGS,6719505,2013-09-13 03:15,6.59,1280
USGS,6719505,2013-09-13 03:30,6.62,1310
USGS,6719505,2013-09-13 03:45,6.81,1500
USGS,6719505,2013-09-13 04:00,6.83,1530
USGS,6719505,2013-09-13 04:15,6.81,1500
USGS,6719505,2013-09-13 04:30,6.76,1450
USGS,6719505,2013-09-13 04:45,6.75,1440
USGS,6719505,2013-09-13 05:00,6.73,1420
USGS,6719505,2013-09-13 05:15,6.72,1410
USGS,6719505,2013-09-13 05:30,6.73,1420
USGS,6719505,2013-09-13 05:45,6.73,1420
USGS,6719505,2013-09-13 06:00,6.74,1430
USGS,6719505,2013-09-13 06:15,6.72,1410
USGS,6719505,2013-09-13 06:30,6.75,1440
USGS,6719505,2013-09-13 06:45,6.73,1420
USGS,6719505,2013-09-13 07:00,6.75,1440
USGS,6719505,2013-09-13 07:15,6.75,1440
USGS,6719505,2013-09-13 07:30,6.74,1430
USGS,6719505,2013-09-13 07:45,6.74,1430
USGS,6719505,2013-09-13 08:00,6.74,1430
USGS,6719505,2013-09-13 08:15,6.73,1420
USGS,6719505,2013-09-13 08:30,6.72,1410
USGS,6719505,2013-09-13 08:45,6.7,1390
USGS,6719505,2013-09-13 09:00,6.71,1400
USGS,6719505,2013-09-13 09:15,6.69,1380
USGS,6719505,2013-09-13 09:30,6.68,1370
USGS,6719505,2013-09-13 09:45,6.66,1350
USGS,6719505,2013-09-13 10:00,6.65,1340
USGS,6719505,2013-09-13 10:15,6.65,1340
USGS,6719505,2013-09-13 10:30,6.64,1330
USGS,6719505,2013-09-13 10:45,6.64,1330
USGS,6719505,2013-09-13 11:00,6.65,1340
USGS,6719505,2013-09-13 11:15,6.63,1320
USGS,6719505,2013-09-13 11:30,6.63,1320
USGS,6719505,2013-09-13 11:45,6.61,1300
USGS,6719505,2013-09-13 12:00,6.6,1290
USGS,6719505,2013-09-13 12:15,6.6,1290
USGS,6719505,2013-09-13 12:30,6.55,1250
USGS,6719505,2013-09-13 12:45,6.54,1240
USGS,6719505,2013-09-13 13:00,6.55,1250
USGS,6719505,2013-09-13 13:15,6.51,1210
USGS,6719505,2013-09-13 13:30,6.52,1220
USGS,6719505,2013-09-13 13:45,6.53,1230
USGS,6719505,2013-09-13 14:00,6.49,1190
USGS,6719505,2013-09-13 14:15,6.5,1200
USGS,6719505,2013-09-13 14:30,6.5,1200
USGS,6719505,2013-09-13 14:45,6.5,1200
USGS,6719505,2013-09-13 15:00,6.51,1210
USGS,6719505,2013-09-13 15:15,6.49,1190
USGS,6719505,2013-09-13 15:30,6.48,1180
USGS,6719505,2013-09-13 15:45,6.5,1200
USGS,6719505,2013-09-13 16:00,6.47,1170
USGS,6719505,2013-09-13 16:15,6.47,1170
USGS,6719505,2013-09-13 16:30,6.47,1170
USGS,6719505,2013-09-13 16:45,6.47,1170
USGS,6719505,2013-09-13 17:00,6.46,1160
USGS,6719505,2013-09-13 17:15,6.45,1160
USGS,6719505,2013-09-13 17:30,6.48,1180
USGS,6719505,2013-09-13 17:45,6.5,1200
USGS,6719505,2013-09-13 18:00,6.5,1200
USGS,6719505,2013-09-13 18:15,6.5,1200
USGS,6719505,2013-09-13 18:30,6.47,1170
USGS,6719505,2013-09-13 18:45,6.46,1160
USGS,6719505,2013-09-13 19:00,6.46,1160
USGS,6719505,2013-09-13 19:15,6.44,1150
USGS,6719505,2013-09-13 19:30,6.46,1160
USGS,6719505,2013-09-13 19:45,6.45,1160
USGS,6719505,2013-09-13 20:00,6.43,1140
USGS,6719505,2013-09-13 20:15,6.44,1150
USGS,6719505,2013-09-13 20:30,6.43,1140
USGS,6719505,2013-09-13 20:45,6.41,1120
USGS,6719505,2013-09-13 21:00,6.41,1120
USGS,6719505,2013-09-13 21:15,6.4,1110
USGS,6719505,2013-09-13 21:30,6.38,1100
USGS,6719505,2013-09-13 21:45,6.37,1090
USGS,6719505,2013-09-13 22:00,6.35,1070
USGS,6719505,2013-09-13 22:15,6.35,1070
USGS,6719505,2013-09-13 22:30,6.34,1060
USGS,6719505,2013-09-13 22:45,6.33,1050
USGS,6719505,2013-09-13 23:00,6.31,1040
USGS,6719505,2013-09-13 23:15,6.31,1040
USGS,6719505,2013-09-13 23:30,6.28,1010
USGS,6719505,2013-09-13 23:45,6.3,1030
USGS,6719505,2013-09-14 00:00,6.28,1010
USGS,6719505,2013-09-14 00:15,6.29,1020
USGS,6719505,2013-09-14 00:30,6.29,1020
USGS,6719505,2013-09-14 00:45,6.27,1010
USGS,6719505,2013-09-14 01:00,6.26,998
USGS,6719505,2013-09-14 01:15,6.26,998
USGS,6719505,2013-09-14 01:30,6.26,998
USGS,6719505,2013-09-14 01:45,6.25,990
USGS,6719505,2013-09-14 02:00,6.23,974
USGS,6719505,2013-09-14 02:15,6.24,982
USGS,6719505,2013-09-14 02:30,6.25,990
USGS,6719505,2013-09-14 02:45,6.23,974
USGS,6719505,2013-09-14 03:00,6.23,974
USGS,6719505,2013-09-14 03:15,6.23,974
USGS,6719505,2013-09-14 03:30,6.22,967
USGS,6719505,2013-09-14 03:45,6.23,974
USGS,6719505,2013-09-14 04:00,6.23,974
USGS,6719505,2013-09-14 04:15,6.22,967
USGS,6719505,2013-09-14 04:30,6.21,959
USGS,6719505,2013-09-14 04:45,6.23,974
USGS,6719505,2013-09-14 05:00,6.21,959
USGS,6719505,2013-09-14 05:15,6.21,959
USGS,6719505,2013-09-14 05:30,6.22,967
USGS,6719505,2013-09-14 05:45,6.21,959
USGS,6719505,2013-09-14 06:00,6.21,959
USGS,6719505,2013-09-14 06:15,6.19,944
USGS,6719505,2013-09-14 06:30,6.19,944
USGS,6719505,2013-09-14 06:45,6.19,944
USGS,6719505,2013-09-14 07:00,6.19,944
USGS,6719505,2013-09-14 07:15,6.18,936
USGS,6719505,2013-09-14 07:30,6.17,929
USGS,6719505,2013-09-14 07:45,6.17,929
USGS,6719505,2013-09-14 08:00,6.17,929
USGS,6719505,2013-09-14 08:15,6.15,914
USGS,6719505,2013-09-14 08:30,6.15,914
USGS,6719505,2013-09-14 08:45,6.15,914
USGS,6719505,2013-09-14 09:00,6.16,921
USGS,6719505,2013-09-14 09:15,6.13,899
USGS,6719505,2013-09-14 09:30,6.12,892
USGS,6719505,2013-09-14 09:45,6.12,892
USGS,6719505,2013-09-14 10:00,6.11,885
USGS,6719505,2013-09-14 10:15,6.1,878
USGS,6719505,2013-09-14 10:30,6.11,885
USGS,6719505,2013-09-14 10:45,6.12,892
USGS,6719505,2013-09-14 11:00,6.1,878
USGS,6719505,2013-09-14 11:15,6.1,878
USGS,6719505,2013-09-14 11:30,6.08,864
USGS,6719505,2013-09-14 11:45,6.1,878
USGS,6719505,2013-09-14 12:00,6.08,864
USGS,6719505,2013-09-14 12:15,6.08,864
USGS,6719505,2013-09-14 12:30,6.08,864
USGS,6719505,2013-09-14 12:45,6.09,871
USGS,6719505,2013-09-14 13:00,6.08,864
USGS,6719505,2013-09-14 13:15,6.08,864
USGS,6719505,2013-09-14 13:30,6.08,864
USGS,6719505,2013-09-14 13:45,6.08,864
USGS,6719505,2013-09-14 14:00,6.12,892
USGS,6719505,2013-09-14 14:15,6.1,878
USGS,6719505,2013-09-14 14:30,6.1,878
USGS,6719505,2013-09-14 14:45,6.1,878
USGS,6719505,2013-09-14 15:00,6.08,864
USGS,6719505,2013-09-14 15:15,6.09,871
USGS,6719505,2013-09-14 15:30,6.1,878
USGS,6719505,2013-09-14 15:45,6.08,864
USGS,6719505,2013-09-14 16:00,6.08,864
USGS,6719505,2013-09-14 16:15,6.07,856
USGS,6719505,2013-09-14 16:30,6.03,829
USGS,6719505,2013-09-14 16:45,6.04,836
USGS,6719505,2013-09-14 17:00,6.04,836
USGS,6719505,2013-09-14 17:15,6.02,822
USGS,6719505,2013-09-14 17:30,6.02,822
USGS,6719505,2013-09-14 17:45,6.03,829
USGS,6719505,2013-09-14 18:00,6.02,822
